time,signal
0.0,0.27
0.004,0.42
0.008,0.57
0.012,0.4649999999999999
0.016,0.36
0.02,-0.0057142857142857
0.024,-0.29375
0.028,-0.34875
0.032,-0.38125
0.036000000000000004,-0.34624999999999984
0.04,-0.32625
0.044,-0.35125
0.048,-0.35375
0.052000000000000005,-0.2887499999999998
0.056,-0.2342857142857142
0.06,-0.2114285714285714
0.064,-0.1925
0.068,-0.1775
0.07200000000000001,-0.16749999999999998
0.076,-0.1625
0.08,-0.1625
0.084,-0.1675
0.088,-0.1625
0.092,-0.1475
0.096,-0.1475
0.1,-0.1625
0.10400000000000001,-0.16428571428571417
0.108,-0.1528571428571428
0.112,-0.14625
0.116,-0.14125
0.12,-0.13625
0.124,-0.13125
0.128,-0.13375
0.132,-0.13875
0.136,-0.14375
0.14,-0.14875
0.14400000000000002,-0.14571428571428557
0.148,-0.14
0.152,-0.135
0.156,-0.13
0.16,-0.145
0.164,-0.16
0.168,-0.1349999999999999
0.17200000000000001,-0.11000000000000007
0.176,-0.12
0.18,-0.13
0.184,-0.14
0.188,-0.15
0.192,-0.1328571428571428
0.196,-0.11875
0.2,-0.11375
0.20400000000000001,-0.11125000000000004
0.20800000000000002,-0.11625000000000002
0.212,-0.1175
0.216,-0.1075
0.22,-0.1
0.224,-0.1
0.228,-0.0971428571428571
0.232,-0.0857142857142857
0.23600000000000002,-0.07749999999999996
0.24,-0.0725
0.244,-0.065
0.248,-0.055
0.252,-0.0425
0.256,-0.0275
0.26,-0.0125
0.264,0.0024999999999999
0.268,0.0242857142857142
0.272,0.0528571428571428
0.276,0.04875
0.28,0.03375
0.28400000000000003,0.056250000000000584
0.28800000000000003,0.09125000000000041
0.292,0.0925
0.296,0.0825
0.3,0.09875
0.304,0.12375
0.308,0.1085714285714285
0.312,0.08
0.316,0.065
0.32,0.05
0.324,0.015
0.328,-0.02
0.332,-0.05
0.336,-0.08
0.34,-0.0699999999999999
0.34400000000000003,-0.06000000000000048
0.34800000000000003,-0.08000000000000047
0.352,-0.1
0.356,-0.0828571428571428
0.36,-0.07625
0.364,-0.10125
0.368,-0.1162499999999999
0.372,-0.1012499999999999
0.376,-0.0849999999999999
0.38,-0.065
0.384,-0.05625
0.388,-0.08125
0.392,-0.0942857142857142
0.396,-0.0714285714285714
0.4,-0.065
0.404,-0.075
0.40800000000000003,-0.08250000000000007
0.41200000000000003,-0.0875000000000001
0.41600000000000004,-0.09500000000000024
0.42,-0.105
0.424,-0.09
0.428,-0.05
0.432,-0.06
0.436,-0.12
0.44,-0.1357142857142857
0.444,-0.1071428571428571
0.448,-0.0925
0.452,-0.0825
0.456,-0.0875
0.46,-0.0975
0.464,-0.0849999999999999
0.468,-0.0649999999999997
0.47200000000000003,-0.09750000000000139
0.47600000000000003,-0.1475000000000005
0.48,-0.1385714285714285
0.484,-0.11
0.488,-0.105
0.492,-0.1
0.496,-0.105
0.5,-0.11
0.504,-0.11
0.508,-0.11
0.512,-0.1
0.516,-0.09
0.52,-0.0842857142857142
0.524,-0.085
0.528,-0.105
0.532,-0.1175
0.536,-0.1075
0.54,-0.1
0.544,-0.1
0.548,-0.09625
0.552,-0.08125
0.556,-0.0714285714285714
0.56,-0.0771428571428571
0.5640000000000001,-0.0724999999999999
0.5680000000000001,-0.0574999999999996
0.5720000000000001,-0.05
0.5760000000000001,-0.05
0.58,-0.045
0.584,-0.035
0.588,-0.0174999999999999
0.592,0.0075
0.596,0.0175
0.6,0.0125
0.604,-0.0042857142857142
