time,resampled_signal
0.0,0.22
0.0078125,0.22546875
0.015625,0.23093750000000002
0.0234375,0.23859375
0.03125,0.2159375
0.0390625,0.213515625
0.046875,0.19921875
0.0546875,0.169921875
0.0625,0.144375
0.0703125,0.11054687499999999
0.078125,0.07234375
0.0859375,0.050312499999999996
0.09375,0.025625
0.1015625,0.0
0.109375,0.00171875
0.1171875,0.0
0.125,0.0
0.1328125,-0.007968750000000017
0.140625,0.0
0.1484375,0.0
0.15625,0.0053125
0.1640625,0.015
0.171875,0.015
0.1796875,0.014609375000000008
0.1875,0.027499999999999997
0.1953125,0.02
0.203125,0.03890625000000001
0.2109375,0.03867187500000001
0.21875,0.036875
0.2265625,0.03140624999999998
0.234375,0.04
0.2421875,0.037265625
0.25,0.04
0.2578125,0.04
0.265625,0.04
0.2734375,0.04859374999999995
0.28125,0.04156249999999999
0.2890625,0.04
0.296875,0.048906249999999984
0.3046875,0.04
0.3125,0.04
0.3203125,0.040781249999999984
0.328125,0.03984375000000002
0.3359375,0.044843749999999946
0.34375,0.06468750000000004
0.3515625,0.055546874999999975
0.359375,0.050781249999999986
0.3671875,0.05601562499999999
0.375,0.0675
0.3828125,0.05796875000000002
0.390625,0.05671875000000002
0.3984375,0.06414062499999992
0.40625,0.06281250000000001
0.4140625,0.05710937499999987
0.421875,0.07531249999999998
0.4296875,0.07578124999999998
0.4375,0.06875
0.4453125,0.06328124999999998
0.453125,0.06921874999999995
0.4609375,0.08234374999999995
0.46875,0.075
0.4765625,0.07140625000000006
0.484375,0.08765624999999991
0.4921875,0.08
0.5,0.095
0.5078125,0.10476562499999999
0.515625,0.08546875000000002
0.5234375,0.1
0.53125,0.10093750000000004
0.5390625,0.12265624999999991
0.546875,0.10140625000000006
0.5546875,0.11335937499999994
0.5625,0.12937500000000005
0.5703125,0.13789062500000007
0.578125,0.1506250000000002
0.5859375,0.14015624999999993
0.59375,0.14
0.6015625,0.11390625000000006
0.609375,0.09656249999999997
0.6171875,0.091484375
0.625,0.0875
0.6328125,0.07195312500000002
