time,signal
0.006,-0.245
0.008,-0.245
0.011,-0.245
0.014,-0.245
0.017,-0.245
0.019,-0.245
0.022,-0.24
0.025,-0.235
0.028,-0.195
0.031,-0.18
0.033,-0.155
0.036,-0.135
0.039,-0.125
0.042,-0.14
0.044,-0.165
0.047,-0.17
0.05,-0.185
0.053,-0.195
0.056,-0.195
0.058,-0.19
0.061,-0.17
0.064,-0.165
0.067,-0.165
0.069,-0.17
0.072,-0.165
0.075,-0.175
0.078,-0.18
0.081,-0.195
0.083,-0.195
0.086,-0.195
0.089,-0.215
0.092,-0.215
0.094,-0.2
0.097,-0.185
0.1,-0.175
0.103,-0.175
0.106,-0.175
0.108,-0.19
0.111,-0.2
0.114,-0.205
0.117,-0.2
0.119,-0.2
0.122,-0.185
0.125,-0.2
0.128,-0.2
0.131,-0.2
0.133,-0.19
0.136,-0.16
0.139,-0.145
0.142,-0.14
0.144,-0.16
0.147,-0.175
0.15,-0.205
0.153,-0.225
0.156,-0.255
0.158,-0.26
0.161,-0.23
0.164,-0.185
0.167,-0.165
0.169,-0.16
0.172,-0.17
0.175,-0.2
0.178,-0.22
0.181,-0.215
0.183,-0.215
0.186,-0.215
0.189,-0.19
0.192,-0.19
0.194,-0.19
0.197,-0.195
0.2,-0.195
0.203,-0.195
0.206,-0.19
0.208,-0.19
0.211,-0.185
0.214,-0.185
0.217,-0.18
0.219,-0.17
0.222,-0.185
0.225,-0.2
0.228,-0.215
0.231,-0.21
0.233,-0.185
0.236,-0.15
0.239,-0.145
0.242,-0.17
0.244,-0.2
0.247,-0.225
0.25,-0.24
0.253,-0.225
0.256,-0.205
0.258,-0.2
0.261,-0.195
0.264,-0.195
0.267,-0.205
0.269,-0.205
0.272,-0.205
0.275,-0.21
0.278,-0.21
0.281,-0.19
0.283,-0.175
0.286,-0.175
0.289,-0.175
0.292,-0.175
0.294,-0.18
0.297,-0.18
0.3,-0.2
0.303,-0.235
0.306,-0.25
0.308,-0.255
0.311,-0.24
0.314,-0.215
0.317,-0.185
0.319,-0.17
0.322,-0.18
0.325,-0.175
0.328,-0.185
0.331,-0.185
0.333,-0.185
0.336,-0.19
0.339,-0.22
0.342,-0.22
0.344,-0.22
0.347,-0.205
0.35,-0.185
0.353,-0.195
0.356,-0.21
0.358,-0.215
0.361,-0.215
0.364,-0.195
0.367,-0.175
0.369,-0.18
0.372,-0.21
0.375,-0.245
0.378,-0.26
0.381,-0.265
0.383,-0.26
0.386,-0.255
0.389,-0.235
0.392,-0.21
0.394,-0.2
0.397,-0.175
0.4,-0.175
0.403,-0.17
0.406,-0.195
0.408,-0.215
0.411,-0.23
0.414,-0.235
0.417,-0.23
0.419,-0.22
0.422,-0.195
0.425,-0.175
0.428,-0.155
0.431,-0.15
0.433,-0.15
0.436,-0.17
0.439,-0.18
0.442,-0.21
0.444,-0.245
0.447,-0.25
0.45,-0.27
0.453,-0.275
0.456,-0.27
0.458,-0.255
0.461,-0.235
0.464,-0.2
0.467,-0.155
0.469,-0.12
0.472,-0.115
0.475,-0.125
0.478,-0.175
0.481,-0.225
0.483,-0.265
0.486,-0.29
0.489,-0.29
0.492,-0.3
0.494,-0.27
0.497,-0.235
0.5,-0.205
0.503,-0.19
0.506,-0.185
0.508,-0.18
0.511,-0.17
0.514,-0.145
0.517,-0.145
0.519,-0.145
0.522,-0.17
0.525,-0.21
0.528,-0.25
0.531,-0.28
0.533,-0.275
0.536,-0.275
0.539,-0.245
0.542,-0.225
0.544,-0.195
0.547,-0.175
0.55,-0.19
0.553,-0.195
0.556,-0.19
0.558,-0.195
0.561,-0.22
0.564,-0.22
0.567,-0.23
0.569,-0.22
0.572,-0.22
0.575,-0.22
0.578,-0.2
0.581,-0.205
0.583,-0.21
0.586,-0.22
0.589,-0.235
0.592,-0.25
0.594,-0.265
0.597,-0.25
0.6,-0.24
0.603,-0.225
0.606,-0.2
0.608,-0.2
0.611,-0.19
0.614,-0.185
0.617,-0.195
0.619,-0.195
0.622,-0.2
0.625,-0.205
0.628,-0.22
0.631,-0.215
0.633,-0.225
0.636,-0.23
0.639,-0.23
0.642,-0.23
0.644,-0.205
0.647,-0.21
0.65,-0.215
0.653,-0.22
0.656,-0.235
0.658,-0.245
0.661,-0.235
0.664,-0.23
0.667,-0.195
0.669,-0.18
0.672,-0.17
0.675,-0.17
0.678,-0.165
0.681,-0.17
0.683,-0.18
0.686,-0.21
0.689,-0.23
0.692,-0.23
0.694,-0.235
0.697,-0.24
0.7,-0.235
0.703,-0.245
0.706,-0.245
0.708,-0.24
0.711,-0.24
0.714,-0.22
0.717,-0.21
0.719,-0.195
0.722,-0.195
0.725,-0.21
0.728,-0.215
0.731,-0.215
0.733,-0.195
0.736,-0.17
0.739,-0.14
0.742,-0.145
0.744,-0.175
0.747,-0.215
0.75,-0.25
0.753,-0.28
0.756,-0.275
0.758,-0.265
0.761,-0.235
0.764,-0.205
0.767,-0.2
0.769,-0.195
0.772,-0.2
0.775,-0.205
0.778,-0.21
0.781,-0.22
0.783,-0.235
0.786,-0.255
0.789,-0.26
0.792,-0.245
0.794,-0.225
0.797,-0.21
0.8,-0.2
0.803,-0.19
0.806,-0.185
0.808,-0.2
0.811,-0.225
0.814,-0.225
0.817,-0.23
0.819,-0.225
0.822,-0.2
0.825,-0.19
0.828,-0.175
0.831,-0.165
0.833,-0.19
0.836,-0.205
0.839,-0.215
0.842,-0.23
0.844,-0.21
0.847,-0.18
0.85,-0.17
0.853,-0.18
0.856,-0.205
0.858,-0.235
0.861,-0.255
0.864,-0.25
0.867,-0.225
0.869,-0.195
0.872,-0.175
0.875,-0.165
0.878,-0.155
0.881,-0.175
0.883,-0.2
0.886,-0.215
0.889,-0.22
0.892,-0.205
0.894,-0.2
0.897,-0.19
0.9,-0.175
0.903,-0.175
0.906,-0.185
0.908,-0.195
0.911,-0.205
0.914,-0.21
0.917,-0.215
0.919,-0.215
0.922,-0.215
0.925,-0.195
0.928,-0.19
0.931,-0.195
0.933,-0.195
0.936,-0.215
0.939,-0.2
0.942,-0.195
0.944,-0.185
0.947,-0.175
0.95,-0.185
0.953,-0.19
0.956,-0.21
0.958,-0.21
0.961,-0.235
0.964,-0.24
0.967,-0.22
0.969,-0.205
0.972,-0.18
0.975,-0.155
0.978,-0.145
0.981,-0.155
0.983,-0.19
0.986,-0.23
0.989,-0.265
0.992,-0.275
0.994,-0.24
0.997,-0.22
1.0,-0.21
1.003,-0.19
1.006,-0.18
1.008,-0.205
1.011,-0.2
1.014,-0.21
1.017,-0.185
1.019,-0.19
1.022,-0.175
1.025,-0.175
1.028,-0.195
1.031,-0.19
1.033,-0.18
1.036,-0.145
1.039,-0.125
1.042,-0.125
1.044,-0.16
1.047,-0.2
1.05,-0.25
1.053,-0.305
1.056,-0.325
1.058,-0.33
1.061,-0.265
1.064,-0.235
1.067,-0.19
1.069,-0.17
1.072,-0.16
1.075,-0.17
1.078,-0.185
1.081,-0.195
1.083,-0.2
1.086,-0.205
1.089,-0.2
1.092,-0.2
1.094,-0.18
1.097,-0.175
1.1,-0.16
1.103,-0.15
1.106,-0.16
1.108,-0.2
1.111,-0.23
1.114,-0.23
1.117,-0.195
1.119,-0.175
1.122,-0.165
1.125,-0.18
1.128,-0.205
1.131,-0.225
1.133,-0.235
1.136,-0.22
1.139,-0.195
1.142,-0.145
1.144,-0.085
1.147,-0.045
1.15,-0.04
1.153,-0.095
1.156,-0.145
1.158,-0.19
1.161,-0.205
1.164,-0.19
1.167,-0.165
1.169,-0.135
1.172,-0.1
1.175,-0.095
1.178,-0.095
1.181,-0.095
1.183,-0.125
1.186,-0.145
1.189,-0.165
1.192,-0.185
1.194,-0.19
1.197,-0.175
1.2,-0.165
1.203,-0.15
1.206,-0.15
1.208,-0.15
1.211,-0.155
1.214,-0.155
1.217,-0.15
1.219,-0.145
1.222,-0.14
1.225,-0.135
1.228,-0.145
1.231,-0.145
1.233,-0.145
1.236,-0.145
1.239,-0.145
1.242,-0.155
1.244,-0.185
1.247,-0.21
1.25,-0.245
1.253,-0.27
1.256,-0.285
